Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,TRANSPORT RES D-TR E,PERGAMON-ELSEVIER SCIENCE LTD,1361-9209,1879-2340,ENVIRONMENTAL STUDIES,SSCI,20643,7.3,Q1,1.63,31.84%
International Soil and Water Conservation Research,INT SOIL WATER CONSE,KEAI PUBLISHING LTD,2095-6339,2589-059X,ENVIRONMENTAL SCIENCES,SCIE,3057,7.3,Q1,1.59,89.47%
Particle and Fibre Toxicology,PART FIBRE TOXICOL,BMC,1743-8977,1743-8977,TOXICOLOGY,SCIE,5436,7.2,Q1,2.18,100.00%
Applied Materials Today,APPL MATER TODAY,ELSEVIER,2352-9407,2352-9407,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,13309,7.2,Q1,1.39,17.55%
CHEMISTRY OF MATERIALS,CHEM MATER,AMER CHEMICAL SOC,0897-4756,1520-5002,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,113115,7.2,Q1,1.29,12.98%
Water Research X,WATER RES X,ELSEVIER,N/A,2589-9147,ENVIRONMENTAL SCIENCES,SCIE,1057,7.2,Q1,1.18,95.24%
ECOLOGICAL MONOGRAPHS,ECOL MONOGR,WILEY,0012-9615,1557-7015,ECOLOGY,SCIE,12052,7.1,Q1,1.72,41.86%
FREE RADICAL BIOLOGY AND MEDICINE,FREE RADICAL BIO MED,ELSEVIER SCIENCE INC,0891-5849,1873-4596,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,51005,7.1,Q1,1.64,29.78%
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,COMPUT ENVIRON URBAN,ELSEVIER SCI LTD,0198-9715,1873-7587,ENVIRONMENTAL STUDIES,SSCI,6641,7.1,Q1,1.49,38.82%
Stem Cell Research & Therapy,STEM CELL RES THER,BMC,N/A,1757-6512,CELL BIOLOGY,SCIE,24357,7.1,Q1,1.39,99.86%
Materials Today Sustainability,MATER TODAY SUSTAIN,ELSEVIER,2589-2347,2589-2347,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,2627,7.1,Q1,1.14,8.55%
Waste Management,WASTE MANAGE,PERGAMON-ELSEVIER SCIENCE LTD,0956-053X,1879-2456,ENVIRONMENTAL SCIENCES,SCIE,50128,7.1,Q1,1.13,20.07%
COMPUTERS IN BIOLOGY AND MEDICINE,COMPUT BIOL MED,PERGAMON-ELSEVIER SCIENCE LTD,0010-4825,1879-0534,BIOLOGY,SCIE,26685,7,Q1,1.8,19.90%
Ecological Indicators,ECOL INDIC,ELSEVIER,1470-160X,1872-7034,ENVIRONMENTAL SCIENCES,SCIE,58287,7,Q1,1.65,97.33%
Journal of Physics-Energy,J PHYS-ENERGY,IOP Publishing Ltd,2515-7655,2515-7655,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,1879,7,Q1,0.82,98.80%
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,COMPUT METHOD APPL M,ELSEVIER SCIENCE SA,0045-7825,1879-2138,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",SCIE,48296,6.9,Q1,2.12,33.94%
Energy Research & Social Science,ENERGY RES SOC SCI,ELSEVIER,2214-6296,2214-6326,ENVIRONMENTAL STUDIES,SSCI,17963,6.9,Q1,1.48,48.47%
ONCOGENE,ONCOGENE,SPRINGERNATURE,0950-9232,1476-5594,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,63616,6.9,Q1,1.47,39.26%
ONCOGENE,ONCOGENE,SPRINGERNATURE,0950-9232,1476-5594,CELL BIOLOGY,SCIE,63616,6.9,Q1,1.47,39.26%
Cold Spring Harbor Perspectives in Biology,CSH PERSPECT BIOL,"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT",1943-0264,1943-0264,CELL BIOLOGY,SCIE,22617,6.9,Q1,1.26,0.00%
Genes & Diseases,GENES DIS,KEAI PUBLISHING LTD,2352-4820,2352-3042,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,3994,6.9,Q1,1.24,98.63%
CURRENT OPINION IN CHEMICAL BIOLOGY,CURR OPIN CHEM BIOL,ELSEVIER SCI LTD,1367-5931,1879-0402,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,10868,6.9,Q1,0.9,41.27%
FOOD POLICY,FOOD POLICY,ELSEVIER SCI LTD,0306-9192,1873-5657,AGRICULTURAL ECONOMICS & POLICY,SCIE,10467,6.8,Q1,1.83,50.12%
Plant Stress,PLANT STRESS,ELSEVIER,2667-064X,2667-064X,PLANT SCIENCES,ESCI,989,6.8,Q1,1.63,98.03%
Journal of Xenobiotics,J XENOBIOTICS,MDPI,2039-4705,2039-4713,TOXICOLOGY,ESCI,395,6.8,Q1,1.29,100.00%
Science China-Materials,SCI CHINA MATER,SCIENCE PRESS,2095-8226,2199-4501,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,9942,6.8,Q1,1.23,1.53%
Wiley Interdisciplinary Reviews-Water,WIRES WATER,WILEY,2049-1948,2049-1948,ENVIRONMENTAL SCIENCES,SCIE,4304,6.8,Q1,1.07,45.60%
IEEE Transactions on Network Science and Engineering,IEEE T NETW SCI ENG,IEEE COMPUTER SOC,2327-4697,2327-4697,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",SCIE,7033,6.7,Q1,2.42,9.55%
PHYTOMEDICINE,PHYTOMEDICINE,ELSEVIER GMBH,0944-7113,1618-095X,PLANT SCIENCES,SCIE,22347,6.7,Q1,2.03,14.06%
Current Opinion in Environmental Science & Health,CURR OPIN ENV SCI HL,ELSEVIER,2468-5844,2468-5844,ENVIRONMENTAL SCIENCES,ESCI,3096,6.7,Q1,1.64,21.16%
Environmental Technology & Innovation,ENVIRON TECHNOL INNO,ELSEVIER,2352-1864,2352-1864,ENVIRONMENTAL SCIENCES,SCIE,15209,6.7,Q1,1.24,58.42%
Science Signaling,SCI SIGNAL,AMER ASSOC ADVANCEMENT SCIENCE,1945-0877,1937-9145,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,14493,6.7,Q1,1.24,2.85%
Science Signaling,SCI SIGNAL,AMER ASSOC ADVANCEMENT SCIENCE,1945-0877,1937-9145,CELL BIOLOGY,SCIE,14493,6.7,Q1,1.24,2.85%
JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,J MATER PROCESS TECH,ELSEVIER SCIENCE SA,0924-0136,1873-4774,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,41643,6.7,Q1,1.22,12.14%
Materials Today Chemistry,MATER TODAY CHEM,ELSEVIER SCI LTD,2468-5194,2468-5194,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,9979,6.7,Q1,1.21,10.01%
Journal of Science-Advanced Materials and Devices,J SCI-ADV MATER DEV,VIETNAM NATL UNIV,2468-2284,2468-2179,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,3508,6.7,Q1,0.97,93.96%
TRANSACTIONS OF TIANJIN UNIVERSITY,T TIANJIN U,SPRINGERNATURE,1006-4982,1995-8196,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,1278,6.7,Q1,0.73,56.64%
ACS Environmental Au,ACS ENVIRON AU,AMER CHEMICAL SOC,N/A,2694-2518,ENVIRONMENTAL SCIENCES,ESCI,404,6.7,Q1,0.68,68.60%
ECONOMETRICA,ECONOMETRICA,WILEY,0012-9682,1468-0262,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",SCIE,44504,6.6,Q1,2.73,0.00%
ECOLOGICAL ECONOMICS,ECOL ECON,ELSEVIER,0921-8009,1873-6106,ECOLOGY,SCIE,33837,6.6,Q1,1.58,42.01%
ECOLOGICAL ECONOMICS,ECOL ECON,ELSEVIER,0921-8009,1873-6106,ENVIRONMENTAL SCIENCES,SCIE,33837,6.6,Q1,1.58,42.01%
ECOLOGICAL ECONOMICS,ECOL ECON,ELSEVIER,0921-8009,1873-6106,ENVIRONMENTAL STUDIES,SSCI,33837,6.6,Q1,1.58,42.01%
Cell Chemical Biology,CELL CHEM BIOL,CELL PRESS,2451-9456,2451-9448,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,7732,6.6,Q1,1.46,76.03%
Journal of Genetics and Genomics,J GENET GENOMICS,SCIENCE PRESS,1673-8527,1873-5533,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,3847,6.6,Q1,1.17,36.12%
npj Materials Degradation,NPJ MAT DEGRAD,NATURE PORTFOLIO,N/A,2397-2106,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,2229,6.6,Q1,1.05,99.59%
Current Opinion in Environmental Sustainability,CURR OPIN ENV SUST,ELSEVIER SCI LTD,1877-3435,1877-3443,ENVIRONMENTAL SCIENCES,SCIE,8552,6.6,Q1,1.02,45.63%
Journal of Hazardous Materials Letters,J HAZARD MATER LETT,ELSEVIER,2666-9110,2666-9110,ENVIRONMENTAL SCIENCES,ESCI,458,6.6,Q1,0.83,98.85%
PLANT PHYSIOLOGY,PLANT PHYSIOL,OXFORD UNIV PRESS INC,0032-0889,1532-2548,PLANT SCIENCES,SCIE,93096,6.5,Q1,1.96,38.60%
HABITAT INTERNATIONAL,HABITAT INT,PERGAMON-ELSEVIER SCIENCE LTD,0197-3975,1873-5428,ENVIRONMENTAL STUDIES,SSCI,10674,6.5,Q1,1.68,17.12%
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,INT J SUST DEV WORLD,TAYLOR & FRANCIS INC,1350-4509,1745-2627,ECOLOGY,SCIE,3529,6.5,Q1,1.5,12.57%
ACS Photonics,ACS PHOTONICS,AMER CHEMICAL SOC,2330-4022,N/A,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,22372,6.5,Q1,1.36,17.96%
Case Studies in Construction Materials,CASE STUD CONSTR MAT,ELSEVIER,2214-5095,2214-5095,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,12515,6.5,Q1,1.34,90.46%
Frontiers of Physics,FRONT PHYS-BEIJING,HIGHER EDUCATION PRESS,2095-0462,2095-0470,"PHYSICS, MULTIDISCIPLINARY",SCIE,3256,6.5,Q1,1.23,2.96%
Nanophotonics,NANOPHOTONICS-BERLIN,WALTER DE GRUYTER GMBH,2192-8606,2192-8614,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,12901,6.5,Q1,1.18,98.02%
EMBO REPORTS,EMBO REP,WILEY,1469-221X,1469-3178,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,20112,6.5,Q1,1.1,54.55%
EMBO REPORTS,EMBO REP,WILEY,1469-221X,1469-3178,CELL BIOLOGY,SCIE,20112,6.5,Q1,1.1,54.55%
Advanced Sustainable Systems,ADV SUSTAIN SYST,WILEY-V C H VERLAG GMBH,2366-7486,2366-7486,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,4398,6.5,Q1,1,23.00%
NEW CARBON MATERIALS,NEW CARBON MATER,ELSEVIER,2097-1605,1872-5805,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,2621,6.5,Q1,0.65,0.00%
POSTHARVEST BIOLOGY AND TECHNOLOGY,POSTHARVEST BIOL TEC,ELSEVIER,0925-5214,1873-2356,AGRONOMY,SCIE,21598,6.4,Q1,2.01,10.80%
eLife,ELIFE,eLIFE SCIENCES PUBL LTD,2050-084X,2050-084X,BIOLOGY,SCIE,96957,6.4,Q1,1.88,99.60%
Science China-Physics Mechanics & Astronomy,SCI CHINA PHYS MECH,SCIENCE PRESS,1674-7348,1869-1927,"PHYSICS, MULTIDISCIPLINARY",SCIE,5755,6.4,Q1,1.67,2.61%
Current Pollution Reports,CURR POLLUT REP,SPRINGER HEIDELBERG,2198-6592,2198-6592,ENVIRONMENTAL SCIENCES,SCIE,2159,6.4,Q1,1.33,19.66%
Advances in Climate Change Research,ADV CLIM CHANG RES,KEAI PUBLISHING LTD,1674-9278,1674-9278,ENVIRONMENTAL SCIENCES,SCIE,2699,6.4,Q1,1.25,94.53%
Agronomy for Sustainable Development,AGRON SUSTAIN DEV,SPRINGER FRANCE,1774-0746,1773-0155,AGRONOMY,SCIE,10023,6.4,Q1,1.12,58.89%
Advanced Materials Technologies,ADV MATER TECHNOL-US,WILEY,2365-709X,2365-709X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,18469,6.4,Q1,0.93,22.64%
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,MUTAT RES-REV MUTAT,ELSEVIER,1383-5742,1388-2139,TOXICOLOGY,SCIE,3694,6.4,Q1,0.92,30.59%
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,J TOXICOL ENV HEAL B,TAYLOR & FRANCIS INC,1093-7404,1521-6950,ENVIRONMENTAL SCIENCES,SCIE,2281,6.4,Q1,0.78,34.09%
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,J TOXICOL ENV HEAL B,TAYLOR & FRANCIS INC,1093-7404,1521-6950,TOXICOLOGY,SCIE,2281,6.4,Q1,0.78,34.09%
Wiley Interdisciplinary Reviews-RNA,WIRES RNA,WILEY,1757-7004,1757-7012,CELL BIOLOGY,SCIE,4050,6.4,Q1,0.73,34.16%
Journal of Animal Science and Biotechnology,J ANIM SCI BIOTECHNO,BMC,1674-9782,2049-1891,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",SCIE,5803,6.3,Q1,2.44,99.76%
GLOBAL ECOLOGY AND BIOGEOGRAPHY,GLOBAL ECOL BIOGEOGR,WILEY,1466-822X,1466-8238,ECOLOGY,SCIE,17766,6.3,Q1,1.77,37.82%
Methods in Ecology and Evolution,METHODS ECOL EVOL,WILEY,2041-210X,2041-2096,ECOLOGY,SCIE,24981,6.3,Q1,1.7,63.79%
SOLAR ENERGY MATERIALS AND SOLAR CELLS,SOL ENERG MAT SOL C,ELSEVIER,0927-0248,1879-3398,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,34234,6.3,Q1,1.27,19.18%
Machine Learning-Science and Technology,MACH LEARN-SCI TECHN,IOP Publishing Ltd,N/A,2632-2153,MULTIDISCIPLINARY SCIENCES,SCIE,2161,6.3,Q1,1.16,99.53%
Smart Agricultural Technology,SMART AGR TECHNOL,ELSEVIER,2772-3755,2772-3755,AGRICULTURAL ENGINEERING,ESCI,1116,6.3,Q1,1.06,96.78%
Smart Agricultural Technology,SMART AGR TECHNOL,ELSEVIER,2772-3755,2772-3755,"AGRICULTURE, MULTIDISCIPLINARY",ESCI,1116,6.3,Q1,1.06,96.78%
Smart Agricultural Technology,SMART AGR TECHNOL,ELSEVIER,2772-3755,2772-3755,AGRONOMY,ESCI,1116,6.3,Q1,1.06,96.78%
Molecular Biomedicine,MOL BIOMED,SPRINGERNATURE,N/A,2662-8651,BIOCHEMISTRY & MOLECULAR BIOLOGY,ESCI,608,6.3,Q1,0.79,100.00%
Molecular Biomedicine,MOL BIOMED,SPRINGERNATURE,N/A,2662-8651,CELL BIOLOGY,ESCI,608,6.3,Q1,0.79,100.00%
PLANT JOURNAL,PLANT J,WILEY,0960-7412,1365-313X,PLANT SCIENCES,SCIE,54794,6.2,Q1,1.77,28.56%
GENOME RESEARCH,GENOME RES,"COLD SPRING HARBOR LAB PRESS, PUBLICATIONS DEPT",1088-9051,1549-5469,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,42910,6.2,Q1,1.62,95.16%
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,ECOTOX ENVIRON SAFE,ACADEMIC PRESS INC ELSEVIER SCIENCE,0147-6513,1090-2414,ENVIRONMENTAL SCIENCES,SCIE,61521,6.2,Q1,1.47,97.17%
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,ECOTOX ENVIRON SAFE,ACADEMIC PRESS INC ELSEVIER SCIENCE,0147-6513,1090-2414,TOXICOLOGY,SCIE,61521,6.2,Q1,1.47,97.17%
Journal of Materials Research and Technology-JMR&T,J MATER RES TECHNOL,ELSEVIER,2238-7854,2214-0697,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,43039,6.2,Q1,1.26,98.02%
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,SEMIN CELL DEV BIOL,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,1084-9521,1096-3634,CELL BIOLOGY,SCIE,14888,6.2,Q1,0.95,42.14%
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,SEMIN CELL DEV BIOL,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,1084-9521,1096-3634,DEVELOPMENTAL BIOLOGY,SCIE,14888,6.2,Q1,0.95,42.14%
CELLULAR AND MOLECULAR LIFE SCIENCES,CELL MOL LIFE SCI,SPRINGER BASEL AG,1420-682X,1420-9071,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,36916,6.2,Q1,0.94,51.15%
CELLULAR AND MOLECULAR LIFE SCIENCES,CELL MOL LIFE SCI,SPRINGER BASEL AG,1420-682X,1420-9071,CELL BIOLOGY,SCIE,36916,6.2,Q1,0.94,51.15%
Advanced Energy and Sustainability Research,ADV ENERG SUST RES,WILEY,2699-9412,2699-9412,"MATERIALS SCIENCE, MULTIDISCIPLINARY",ESCI,2130,6.2,Q1,0.71,82.08%
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,CRIT REV BIOCHEM MOL,TAYLOR & FRANCIS LTD,1040-9238,1549-7798,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,3999,6.2,Q1,0.65,23.21%
Animal Nutrition,ANIM NUTR,KEAI PUBLISHING LTD,2405-6383,2405-6545,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",SCIE,4353,6.1,Q1,2.61,92.40%
AGRICULTURAL SYSTEMS,AGR SYST,ELSEVIER SCI LTD,0308-521X,1873-2267,"AGRICULTURE, MULTIDISCIPLINARY",SCIE,12430,6.1,Q1,2.05,53.82%
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,J ENVIRON PSYCHOL,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0272-4944,1522-9610,ENVIRONMENTAL STUDIES,SSCI,17452,6.1,Q1,1.88,38.08%
Systematic Biology,SYST BIOL,OXFORD UNIV PRESS,1063-5157,1076-836X,EVOLUTIONARY BIOLOGY,SCIE,18274,6.1,Q1,1.82,44.82%
PLANT PHYSIOLOGY AND BIOCHEMISTRY,PLANT PHYSIOL BIOCH,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,0981-9428,1873-2690,PLANT SCIENCES,SCIE,28889,6.1,Q1,1.69,8.66%
Current Opinion in Toxicology,CURR OPIN TOXICOL,ELSEVIER,2468-2020,2468-2020,TOXICOLOGY,ESCI,1497,6.1,Q1,1.44,37.76%
Ecosystem Services,ECOSYST SERV,ELSEVIER,2212-0416,2212-0416,ECOLOGY,SCIE,10137,6.1,Q1,1.42,45.38%
Ecosystem Services,ECOSYST SERV,ELSEVIER,2212-0416,2212-0416,ENVIRONMENTAL SCIENCES,SCIE,10137,6.1,Q1,1.42,45.38%
Ecosystem Services,ECOSYST SERV,ELSEVIER,2212-0416,2212-0416,ENVIRONMENTAL STUDIES,SSCI,10137,6.1,Q1,1.42,45.38%
MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,MAT SCI ENG A-STRUCT,ELSEVIER SCIENCE SA,0921-5093,1873-4936,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,124580,6.1,Q1,1.18,12.60%
CURRENT OPINION IN STRUCTURAL BIOLOGY,CURR OPIN STRUC BIOL,CURRENT BIOLOGY LTD,0959-440X,1879-033X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,11970,6.1,Q1,1.17,52.34%
CURRENT OPINION IN STRUCTURAL BIOLOGY,CURR OPIN STRUC BIOL,CURRENT BIOLOGY LTD,0959-440X,1879-033X,CELL BIOLOGY,SCIE,11970,6.1,Q1,1.17,52.34%
Cell and Bioscience,CELL BIOSCI,BMC,N/A,2045-3701,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,6413,6.1,Q1,1.07,99.84%
Frontiers of Environmental Science & Engineering,FRONT ENV SCI ENG,HIGHER EDUCATION PRESS,2095-2201,2095-221X,ENVIRONMENTAL SCIENCES,SCIE,5113,6.1,Q1,0.97,8.39%
Cell Death Discovery,CELL DEATH DISCOV,SPRINGERNATURE,N/A,2058-7716,CELL BIOLOGY,SCIE,8655,6.1,Q1,0.96,99.85%
Nanotechnology Reviews,NANOTECHNOL REV,DE GRUYTER POLAND SP Z O O,2191-9089,2191-9097,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,4524,6.1,Q1,0.93,96.72%
Cleaner Environmental Systems,CLEAN ENVIRON SYST,ELSEVIER,2666-7894,2666-7894,ENVIRONMENTAL SCIENCES,ESCI,639,6.1,Q1,0.92,93.55%
Cleaner Environmental Systems,CLEAN ENVIRON SYST,ELSEVIER,2666-7894,2666-7894,ENVIRONMENTAL STUDIES,ESCI,639,6.1,Q1,0.92,93.55%
APOPTOSIS,APOPTOSIS,SPRINGER,1360-8185,1573-675X,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,6525,6.1,Q1,0.85,16.80%
APOPTOSIS,APOPTOSIS,SPRINGER,1360-8185,1573-675X,CELL BIOLOGY,SCIE,6525,6.1,Q1,0.85,16.80%
Reviews of Environmental Contamination and Toxicology,REV ENVIRON CONTAM T,SPRINGER,0179-5953,2197-6554,ENVIRONMENTAL SCIENCES,SCIE,3013,6.1,Q1,0.78,11.36%
Reviews of Environmental Contamination and Toxicology,REV ENVIRON CONTAM T,SPRINGER,0179-5953,2197-6554,TOXICOLOGY,SCIE,3013,6.1,Q1,0.78,11.36%
Crop Journal,CROP J,KEAI PUBLISHING LTD,2095-5421,2214-5141,AGRONOMY,SCIE,4862,6,Q1,1.91,95.65%
Crop Journal,CROP J,KEAI PUBLISHING LTD,2095-5421,2214-5141,PLANT SCIENCES,SCIE,4862,6,Q1,1.91,95.65%
URBAN FORESTRY & URBAN GREENING,URBAN FOR URBAN GREE,ELSEVIER GMBH,1618-8667,1610-8167,ENVIRONMENTAL STUDIES,SSCI,15848,6,Q1,1.76,28.21%
URBAN FORESTRY & URBAN GREENING,URBAN FOR URBAN GREE,ELSEVIER GMBH,1618-8667,1610-8167,FORESTRY,SCIE,15848,6,Q1,1.76,28.21%
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,AGR ECOSYST ENVIRON,ELSEVIER,0167-8809,1873-2305,"AGRICULTURE, MULTIDISCIPLINARY",SCIE,33053,6,Q1,1.72,29.50%
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,AGR ECOSYST ENVIRON,ELSEVIER,0167-8809,1873-2305,ECOLOGY,SCIE,33053,6,Q1,1.72,29.50%
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,AGR ECOSYST ENVIRON,ELSEVIER,0167-8809,1873-2305,ENVIRONMENTAL SCIENCES,SCIE,33053,6,Q1,1.72,29.50%
PLANT CELL AND ENVIRONMENT,PLANT CELL ENVIRON,WILEY,0140-7791,1365-3040,PLANT SCIENCES,SCIE,30402,6,Q1,1.66,31.85%
LAND USE POLICY,LAND USE POLICY,ELSEVIER SCI LTD,0264-8377,1873-5754,ENVIRONMENTAL STUDIES,SSCI,32633,6,Q1,1.5,26.49%
Journal of Environmental Informatics,J ENVIRON INFORM,INT SOC ENVIRON INFORM SCI,1726-2135,1684-8799,ENVIRONMENTAL SCIENCES,SCIE,776,6,Q1,1.39,0.00%
Urban Climate,URBAN CLIM,ELSEVIER,2212-0955,2212-0955,ENVIRONMENTAL SCIENCES,SCIE,8471,6,Q1,1.34,18.75%
Antioxidants,ANTIOXIDANTS-BASEL,MDPI,N/A,2076-3921,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,48845,6,Q1,1.21,99.50%
MOLECULAR MEDICINE,MOL MED,SPRINGER,1076-1551,1528-3658,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,7216,6,Q1,1.06,99.58%
MOLECULAR MEDICINE,MOL MED,SPRINGER,1076-1551,1528-3658,CELL BIOLOGY,SCIE,7216,6,Q1,1.06,99.58%
Cancer & Metabolism,CANCER METAB,BMC,N/A,2049-3002,CELL BIOLOGY,SCIE,1467,6,Q1,1.04,100.00%
Environmental Sciences Europe,ENVIRON SCI EUR,SPRINGER,2190-4707,2190-4715,ENVIRONMENTAL SCIENCES,SCIE,4579,6,Q1,1,100.00%
Solar RRL,SOL RRL,WILEY-V C H VERLAG GMBH,2367-198X,2367-198X,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,12115,6,Q1,0.98,22.40%
Materials Chemistry Frontiers,MATER CHEM FRONT,ROYAL SOC CHEMISTRY,N/A,2052-1537,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,13261,6,Q1,0.93,5.39%
CURRENT OPINION IN CELL BIOLOGY,CURR OPIN CELL BIOL,CURRENT BIOLOGY LTD,0955-0674,1879-0410,CELL BIOLOGY,SCIE,12594,6,Q1,0.81,45.13%
CRITICAL REVIEWS IN PLANT SCIENCES,CRIT REV PLANT SCI,TAYLOR & FRANCIS INC,0735-2689,1549-7836,PLANT SCIENCES,SCIE,4491,6,Q1,0.7,23.33%
Agricultural Water Management,AGR WATER MANAGE,ELSEVIER,0378-3774,1873-2283,AGRONOMY,SCIE,31875,5.9,Q1,1.89,44.43%
Journal of Environmental Sciences,J ENVIRON SCI,SCIENCE PRESS,1001-0742,1878-7320,ENVIRONMENTAL SCIENCES,SCIE,21394,5.9,Q1,1.37,5.25%
ANTIOXIDANTS & REDOX SIGNALING,ANTIOXID REDOX SIGN,"MARY ANN LIEBERT, INC",1523-0864,1557-7716,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,24610,5.9,Q1,1.36,11.43%
REVIEWS IN FISH BIOLOGY AND FISHERIES,REV FISH BIOL FISHER,SPRINGER,0960-3166,1573-5184,MARINE & FRESHWATER BIOLOGY,SCIE,4808,5.9,Q1,1.35,39.04%
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,AM J RESP CELL MOL,AMER THORACIC SOC,1044-1549,1535-4989,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,13200,5.9,Q1,1.25,12.42%
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,AM J RESP CELL MOL,AMER THORACIC SOC,1044-1549,1535-4989,CELL BIOLOGY,SCIE,13200,5.9,Q2,1.25,12.42%
Stem Cell Reports,STEM CELL REP,CELL PRESS,2213-6711,2213-6711,CELL BIOLOGY,SCIE,11012,5.9,Q2,1.18,95.73%
Global Change Biology Bioenergy,GCB BIOENERGY,WILEY,1757-1693,1757-1707,AGRONOMY,SCIE,5061,5.9,Q1,1.08,83.52%
Neural Regeneration Research,NEURAL REGEN RES,WOLTERS KLUWER MEDKNOW PUBLICATIONS,1673-5374,1876-7958,CELL BIOLOGY,SCIE,11886,5.9,Q2,1.03,94.68%
Non-coding RNA Research,NON-CODING RNA RES,KEAI PUBLISHING LTD,2468-2160,2468-0540,BIOCHEMISTRY & MOLECULAR BIOLOGY,ESCI,937,5.9,Q1,0.92,95.92%
FlatChem,FLATCHEM,ELSEVIER,2452-2627,2452-2627,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,2056,5.9,Q1,0.9,6.84%
